Date,Open,High,Low,Close,Volume,Adj Close,Month Date,,
08-03-2015,121.5,122.57,92,112.760002,79152700,110.997612,,,AAPL_Return_2016
09-01-2015,110.150002,116.889999,107.360001,110.300003,60620000,108.576057,2015/08,-0.23413857,
10-01-2015,109.07,121.220001,107.309998,119.5,52797300,117.632263,2015/09,-0.12904487,
11-02-2015,120.800003,123.82,111,118.300003,39491000,116.949501,2015/10,-0.252026145,
12-01-2015,118.75,119.860001,104.82,105.260002,43750400,104.058365,2015/11,0.107857487,
01-04-2016,102.610001,105.849998,92.389999,97.339996,70329700,96.228775,2015/12,0.607521303,
02-01-2016,96.470001,98.889999,92.589996,96.690002,42303900,96.104874,2016/01,-0.398491676,0
03-01-2016,97.650002,110.419998,97.419998,108.989998,35088000,108.330437,2016/02,-0.170572926,
04-01-2016,108.779999,112.389999,92.510002,93.739998,44805400,93.172722,2016/03,0.276943684,
05-02-2016,93.970001,100.730003,89.470001,99.860001,44903700,99.860001,2016/04,0.002193932,
06-01-2016,99.019997,101.889999,91.5,95.599998,37060600,95.599998,2016/05,-0.174664894,
07-01-2016,95.489998,104.550003,94.370003,104.209999,34748300,104.209999,2016/06,-0.062392406,
08-01-2016,104.410004,106.150002,104.410004,106.050003,74998000,106.050003,2016/07,1.158321414,
